Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
SURPRENANTES - DE LA TERRE À LA LUNE;Hébergement insolite;Appartement;;;86 quai de la Fosse;;44100;NANTES;;44109;47.2086171;-1.5690311;Aéroport/aérodrome||||6,14379,Gare maritime||||0,449963,Gare SNCF||Gare SNCF - accès Nord||2,20793,Gare SNCF||Gare SNCF - accès Sud||2,17912;06 38 44 49 98;;;;http://www.surprenantes.com;;;;;non;Supplément animaux : 15€ par séjour;;non;;WiFi;Entrée indépendante;Micro ondes;;;Non classé;1;0;1;4;70;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";oui;;;non;;;"Nuitée (meublé)||93,00||159,00||Tarif en semaine du lundi au jeudi inclus : 139,00€;Tarif wee-end du vendredi au dimanche inclus , fériés, vacances scolaires et événements : 159,00€";"Cartes bancaires;Chèques bancaires et postaux";47.2086171,-1.5690311;Loire-Atlantique
JOLIE MAISON INDIVIDUELLE ET CALME;Meublés;Maison;;;16 rue de Cromlech;Saint-Marc-sur-Mer;44600;SAINT-NAZAIRE;;44184;47.2475286;-2.2903199;Bord de mer||||0,8,Gare SNCF||||5,Bord de mer||||0,8,Gare SNCF||||5;06 61 54 43 40;;;;;;;;;non;;;non;;Parc/jardin;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon";Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;3 clés (Clévacances);Non classé;4;;;;180;;"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||900,00||||;Chèques bancaires et postaux;47.2475286,-2.2903199;Loire-Atlantique
AUTHENTIQUE PORNIC;Chambres d'hôtes;Maison;;;106 allée des Troènes;;44210;PORNIC;;44131;47.10843;-2.08021;Bord de mer||||0,9,||||1,5,Gare SNCF||||1,5;06 70 84 45 03;;;;https://authentique-pornic.fr/;;;;;non;;;non;;WiFi;Terrasse / Balcon;;Fleurs de Soleil;;;3;;;6;56;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Taxe de séjour / nuit / pers||0,70||0,70||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.10843,-2.08021;Loire-Atlantique
CHAMBRE D'HÔTES AU PIED DE LA TOUR;Chambres d'hôtes;;;;29 rue du Château;;44521;OUDON;;44115;47.3451386;-1.2894926;Bord de mer||||100,Gare SNCF||||0,Bord de mer||||100,Gare SNCF||||0;06 32 39 28 03;02 40 83 60 78;;;;;;;;non;;;non;EV6-La Loire à Vélo;Parc/jardin;"Jardin indépendant;Terrain clos;Terrasse / Balcon";Micro ondes;Accueil Vélo,La Loire à vélo;1 clé (Clévacances);Non classé;1;;;4;25;;"Anglais;Français";oui;;;;;;;Chèques bancaires et postaux;47.3451386,-1.2894926;Loire-Atlantique
CHAMBRE D'HÔTES L'ATELIER 88;Chambres d'hôtes;;;;1 rue du lavoir;Launay;44640;ROUANS;;44145;47.1964769;-1.8304915;Bord de mer||||30,Gare SNCF||||0,Gare SNCF||||0;06 64 83 61 42;02 40 64 22 85;;;http://latelier88.fr;;;;;oui;Sous condition(s);;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;Parc/jardin;"Jardin indépendant;Parking;Terrain clos";;Accueil Vélo,La Loire à vélo,La Vélodyssée;;Non classé;1;;;2;18;;"Anglais;Français";;;;;;;;Chèques bancaires et postaux;47.1964769,-1.8304915;Loire-Atlantique
GITE LA PERRUCHE SUR ERDRE;Meublés;Maison;;;La Perruche;;44240;SUCE-SUR-ERDRE;;44201;47.3319159;-1.5315613;Gare SNCF||Gare de Nantes||17,Autoroute||A11 (Paris)||6;;02 40 77 93 99;;;https://laperruchesurerdre.wordpress.com/;;;;;oui;;;non;;Parc/jardin,Piscine couverte,Plan d'eau,WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé,Micro ondes;;;Non classé;2;;1;6;;Location de draps,Location de linge;"Allemand;Français";oui;;LERIGOLEUR Geneviève||02 40 77 93 99||g.lerigoleur@wanadoo.fr;;;;Semaine (meublé)||350,00||||4 PERS;Chèques bancaires et postaux;47.3319159,-1.5315613;Loire-Atlantique
GÎTE LE MEUBLÉ BLINOIS;Meublés;Appartement;;;35 bis Boulevard de la Résistance;;44130;BLAIN;;44015;47.4738177;-1.7591979;Gare SNCF||Gare de Nantes||43,1,Route (nationale/départ.)||N 137 (Nantes-Rennes)||14,Halte fluviale||Port de Blain||0,9,Transport en commun||Lignes Aléop n°311,  n°371 et n°344||0,35;06 73 31 00 79;;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;Non classé;2;;1;4;67;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);Français;oui;;;;;;"Nuitée (meublé)||49,00||||2 personnes : 49 €;3 personnes : 59 €;4 personnes : 69 €,Semaine (meublé)||280,00||||2 personnes : 280 €;3 personnes : 330 €;4 personnes : 395 €";"Chèques bancaires et postaux;Espèces;Virement";47.4738177,-1.7591979;Loire-Atlantique
LA DUNE VERTE;Meublés;Appartement;;;51 allée Michel Petrucciani - Saint-Marc-sur-Mer;;44600;SAINT-NAZAIRE;;44184;47.2442051;-2.2860385;Gare SNCF||Gare de St Nazaire ||9,Transport en commun||Ligne U2 - Arrêt Courtil Brécard||0,27,Autoroute||par Voie express puis autoroute à Nantes||3,Aéroport/aérodrome||Aéroport Nantes Atlantique ||71;07 82 24 33 12;;;;;https://www.youtube.com/watch?v=dZ50w4L4Fv4;;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/dZ50w4L4Fv4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";;non;Nous demandons à nos locataires de ne pas fumer dans l'appartement car c'est possible à l'extérieur sur la terrasse en étant à l'abri;;non;;WiFi;"Parking;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;2;0;1;4;59;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage;"Anglais;Français";non;02/05/2022||29/08/2022||Location : de Mai à fin Août||De Septembre à Avril colloc de 2 étudiants||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||07 82 24 33 12||thierry.morel@yahoo.fr;;;;Semaine (meublé)||350,00||700,00||;"Chèques bancaires et postaux;Espèces;Virement";47.2442051,-2.2860385;Loire-Atlantique
CHAMBRES D'HOTES LA MAISON HAUTE;Chambres d'hôtes;Maison;;;11 rue de Pibrac;Sainte-germaine;44690;LA HAIE-FOUASSIERE;;44070;47.1620613;-1.4275435;Gare SNCF||LA HAYE-FOUASSIERE||3,Autoroute||A83||5,Route (nationale/départ.)||E62||3,Transport en commun||BUSWAY||4,Aéroport/aérodrome||Nantes-Atlantique||18;;;;;http://lamaisonhaute44.pagesperso-orange.fr;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé;;;Non classé;2;0;1;6;62;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";non;01/05/2022||06/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||68,00||70,00||;"Chèques bancaires et postaux;Espèces;Virement";47.1620613,-1.4275435;Loire-Atlantique
CHAMBRES D'HOTES BED OF ROSES;Chambres d'hôtes;;;;16 rue Cacault;;44190;CLISSON;;44043;47.0862061;-1.2851748;Gare SNCF||||0,1,Aéroport/aérodrome||||35;06 78 97 70 16;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Sanitaires privés;Terrain clos;Toilettes séparées";Equipement bébé,Micro ondes;Chambre d'hôtes référence;;;1;;;-4;32;Fourniture de draps (gratuit),Location/prêt de vélo;"Anglais;Espagnol;Italien";;;lise bougeant||06 78 97 70 16||;;;;;"Chèques bancaires et postaux;Virement";47.0862061,-1.2851748;Loire-Atlantique
LA DERMURIE STUDIO 3;Meublés;Appartement;;;17 Rue de la Dermurie;;44600;SAINT-NAZAIRE;;44184;47.28327;-2.2056;Gare SNCF||||0,65,Transport en commun||Ligne U2 - Arrêt Libération||0,28,Transport en commun||Ligne Hélyce - Arrêt Ville Halluard||0,35;;;;;;;;;;non;;;non;;WiFi;"Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;1;0;1;2;21;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Nuitée (meublé)||55,00||87,00||;"Cartes bancaires;Chèques Vacances;Virement";47.28327,-2.2056;Loire-Atlantique
LA COLONIALE;Meublés;Appartement;;;50 rue de la paix;;44600;SAINT-NAZAIRE;;44184;47.2776598;-2.2149249;Gare SNCF||||1,1,Transport en commun||Ligne T2 / U3 / U4 - Arrêt: Brizeux||0,2,Transport en commun||Ligne Helyce - Arrêt: Rue de la paix||0,15,Bord de mer||Front de mer||0,5;06 74 56 87 78;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;2;2;1;5;75;Fourniture de draps (gratuit),Location de linge,Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage;"Anglais;Espagnol;Français";oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Ghislaine MELLE||06 74 56 87 78||ghislaine.melle@hotmail.fr;;;;Semaine (meublé)||400,00||800,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.2776598,-2.2149249;Loire-Atlantique
LA GRANDE PÊCHERIE;Hébergement insolite;Cabane;;;Brais;;44550;SAINT-MALO-DE-GUERSAC;;44176;47.3568733;-2.1879218;Gare SNCF||||11,8,Transport en commun||Ligne T3 - arrêt : Aristid Briand||0,7;;08 11 26 01 60;;;http://www.insolite.voyage/index.php?p=1_19_La-grande-p-cherie;;Facebook||https://www.facebook.com/insolite.voyage/;;;oui;;;non;;;Terrasse / Balcon;;;;;;;1;4;17;;"Anglais;Français";non;01/04/2022||30/09/2022||Location d'Avril à Septembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||08 11 26 01 60||;;;;Nuitée (meublé)||75,00||115,00||petit déjeuner inclus;"Chèques Vacances;Espèces;Virement";47.3568733,-2.1879218;Loire-Atlantique
GITES NANTES GRANDLIEU LE PETIT GITE;Meublés;Maison;;;6, rue du Grand Moulin;;44860;PONT-SAINT-MARTIN;;44130;47.12512;-1.5839;Gare SNCF||||12,Aéroport/aérodrome||||5;;06 16 61 05 41;;;http://www.gitesnantesgrandlieu.fr;;Facebook||https://www.facebook.com/gites.nantes.grandlieu/;;;oui;Sous conditions;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;Non classé;2;0;1;4;55;Fourniture de draps (gratuit),Option nettoyage;"Anglais;Français";oui;;;oui;Airbnb||https://www.gitesnantesgrandlieu.fr/tarifs-dispos-acc%C3%A8s/||||02 40 32 70 26||contact@gitenantesgrandlieu.fr;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.12512,-1.5839;Loire-Atlantique
GITE LE JULES VERNE;Meublés;Maison;;;La Marionnière;;44860;PONT-SAINT-MARTIN;;44130;47.13464;-1.5882;Gare SNCF||||12,Aéroport/aérodrome||||6;;06 74 24 46 96;;;https://www.marionniere.fr;;Facebook||https://fr-fr.facebook.com/gitesMarionniere/;;;oui;;;non;;Parc/jardin,Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle;;;3 étoiles;2;0;1;5;50;Fourniture de draps (gratuit),Location/prêt de vélo;"Anglais;Français";oui;;Régis LE BON||06 74 24 46 96||regislebon44@gmail.com;;;;;"Cartes bancaires;Chèques Vacances";47.13464,-1.5882;Loire-Atlantique
GÎTE DE LA BOURRIÈRE;Meublés;;;;6 bis La Bourrière;;44650;TOUVOIS;;44206;46.906444;-1.682613;Gare SNCF||||18,Aéroport/aérodrome||||40;;0251729565;;;;;;;;oui;;;non;;WiFi;"Jardin indépendant;Terrasse / Balcon";;;;;2;;;4;76;;;;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G212061&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G212061&ACC=G&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;;"Cartes bancaires;Chèques Vacances";46.906444,-1.682613;Loire-Atlantique
GITE RENAUD CLAUDINE;Meublés;;;;5 La Gaillardière;;44650;LEGE;;44081;46.910231;-1.573467;Gare SNCF||||20,Aéroport/aérodrome||||40;;0251729565;;;;;;;;non;;;non;;;"Jardin indépendant;Parking;Terrasse / Balcon";;;;2 étoiles;3;;;6;58;;;oui;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G209721&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G209721&ACC=G&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;;"Cartes bancaires;Chèques Vacances";46.910231,-1.573467;Loire-Atlantique
CHAMBRE D'HÔTES LES ROSEAUX DE CALLAC;Chambres d'hôtes;;;;Callac;;44290;GUEMENE-PENFAO;;44067;47.611425;-1.825409;Gare SNCF||||20,Aéroport/aérodrome||||70;06 87 66 10 22;02 40 51 12 36;;;http://www.lesroseauxdecallac.com;;;;;non;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Terrasse / Balcon";Cheminée;;;Non classé;4;;;12;152;Fourniture de draps (gratuit);"Allemand;Anglais;Espagnol";oui;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G591984&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G591984&ACC=H&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;;"Cartes bancaires;Chèques Vacances";47.611425,-1.825409;Loire-Atlantique
GITE AU PARADIS DES 4 SAISONS;Meublés;Maison;;;La Tournerie;;44810;HERIC;;44073;47.3987914;-1.5804709;Gare SNCF||||25,Aéroport/aérodrome||||34;06 34 43 45 58;02 40 77 62 08;;;https://www.auparadisdes4saisons.fr;"https://goo.gl/maps/1uKopc81QLL4BCFC6,<iframe src=""https://www.google.com/maps/embed?pb=!4v1600847663113!6m8!1m7!1sCAoSLEFGMVFpcE45VklXTm91Q0tMdUxONHlFX1I0STVSaTlVVTNPNmhzbVZRZzdS!2m2!1d47.39912163823769!2d-1.579015963352632!3f161.6751397";Instagram||;;;oui;;;non;;Parc/jardin,Piscine,Piscine couverte,Plan d'eau,WiFi;"Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;5;;;15;130;Fourniture de draps (gratuit),Location/prêt de vélo,Option nettoyage;Français;oui;01/01/2011||31/12/2030||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||1500,00||1600,00||,Week-end (meublé)||950,00||1200,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.3987914,-1.5804709;Loire-Atlantique
CHAMBRE D'HOTES FLEUR DE VIGNE;Chambres d'hôtes;Maison;;;23, La Maisdonnière;;44690;MONNIERES;;44100;47.130535;-1.359034;Gare SNCF||||4,Aéroport/aérodrome||||30;06 08 27 07 64;02 40 54 65 59;;;http://www.chambredhotes-maillard.fr;;;;;non;;;non;;WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Micro ondes;;;3 étoiles;1;;1;4;60;Fourniture de draps (gratuit),Nettoyage (gratuit);Anglais;oui;;;oui;Gîtes de France||http://webitea-44-RESA-francais.gl.itea.fr/resa/etape1.php?NUM=44G192281&INSTANCE=gites44&OPE=FAIRESAV&ORI=FAIRESAV&&&&||http://webitea-44-RESA-francais.gl.itea.fr/cgi.php?&OPE=FAIRESAV&ORI=FAIRESAV&PLG=O&NUM=44G192281&ACC=H&INSTANCE=gites44||0251729565||info@gites-de-france-44.fr;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||70,00||;"Cartes bancaires;Chèques Vacances";47.130535,-1.359034;Loire-Atlantique
CHAMBRE D'HÔTES LOGIS DE RICHEBONNE;Chambres d'hôtes;Châteaux et demeures de prestige;;;7 Impasse de Richebonne;;44650;LEGE;;44081;46.8826233;-1.6067478;Gare SNCF||||40,Aéroport/aérodrome||NANTES ATLANTIQUE||40;06 61 78 90 41;02 40 04 90 41;;;;;;;;non;;;non;;Parc/jardin,Plan d'eau;"Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";;B&B;;3 étoiles;3;;;10;;Fourniture de draps (gratuit);"Anglais;Français";oui;;Alain & Françoise de Ternay||02 40 04 90 41||adeternay@wanadoo.fr;;;;;Chèques bancaires et postaux;46.8826233,-1.6067478;Loire-Atlantique
GÎTE DE LA TARTOUZERIE;Meublés;;;;3 La Tartouzerie;;44680;SAINT-HILAIRE-DE-CHALEONS;;44164;47.096523;-1.933476;Gare SNCF||||6,Aéroport/aérodrome||||35,Transport en commun||||2;;02 51 72 95 65;;;https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-saint-hilaire-de-chaleons-44g211291-h44g011900;;;;;non;;;;;WiFi;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;2 étoiles;4;;;8;150;Fourniture de draps (gratuit),Location de linge;;oui;||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||+33680216940||;oui;Gîtes de France||https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-saint-hilaire-de-chaleons-44g211291-h44g011900||||02 51 72 95 65||info@gites-de-france-44.fr;;Nuitée (meublé)||105,00||363,00||,Semaine (meublé)||430,00||800,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Virement";47.096523,-1.933476;Loire-Atlantique
BIVOUAC CAMPING PORT MULON;Locatif sur camping;Cabane;;Camping Seasonova;Rue des Mares Noires;;44390;NORT-SUR-ERDRE;;44110;47.4288011;-1.4972237;Halte fluviale||Le Port de Nort sur Erdre||1,Aéroport/aérodrome||Nantes Atlantique||30,Gare SNCF||Station Nort sur Erdre||1;06 31 19 76 67;02 40 72 23 57;;;https://www.camping-leportmulon.fr/fr/;;Facebook||https://www.facebook.com/portmulon/,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2544622-d4567541-Reviews-Camping_Port_Mulon-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;;;oui;;;non;EV1-La Vélodyssée;Parc/jardin,WiFi;"Parking;Terrain clos";;Accueil Vélo,Clef Verte,La Vélodyssée;;3 étoiles;;;2;2;;;"Anglais;Français";non;;Mme Maillard Nathalie||02 40 72 23 57||contact@camping-portmulon.com;;;;Nuitée (meublé)||27,00||37,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.4288011,-1.4972237;Loire-Atlantique
LA MAISON DU BORD DE LOIRE;Meublés;;;;10 Boulevard Joubert;;44150;ANCENIS-SAINT-GEREON;;44003;47.3634026;-1.1791536;Itinéraire de randonnée||Loire à vélo||0,Gare SNCF||Ancenis||1,Route (nationale/départ.)||RD723||1,5,Autoroute||A11||5,8;0628237054;;;;;;;;;;;;non;;;;;;;Non classé;;;;;;;;;;;;;;;;47.3634026,-1.1791536;Loire-Atlantique
CABANE R DE LA GRANGE AU LANDREAU;Hébergement insolite;Cabane;;;La Grange;;44430;LE LANDREAU;;44079;47.1898221;-1.3290225;Itinéraire de randonnée||Vignoble à Vélo||,Itinéraire de randonnée||Circuits PR - Petites randonnées||;;02 51 71 65 74;;;https://www.randocabane.fr/;https://youtu.be/F79sSJIHdO4;Facebook||https://www.facebook.com/nantes.wine.tour,Instagram||https://www.instagram.com/randocabane/;;;non;;;non;;Parc/jardin;"Entrée indépendante;Local vélo;Parking;Plain Pied;Sanitaires privés;Toilettes séparées";Micro ondes;;;Non classé;;;1;4;11;Location de draps,Location de linge;"Anglais;Français";non;01/05/2021||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,30/04/2022||01/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||||;"Cartes bancaires;Espèces;Virement";47.1898221,-1.3290225;Loire-Atlantique
VILLAGE LOCATIF DOMAINE DES FORGES;Village locatif;Chalet,Maison;;;;Etang de la Provostière;44440;RIAILLE;;44144;47.5235417;-1.345736;Route (nationale/départ.)||RD18||2;;02 40 97 88 38;;;http://www.domainedesforges.fr;;Facebook||https://www.facebook.com/domainedesforges44;;;oui;;;non;;Parc/jardin,Piscine couverte,Plan d'eau,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée;;;Non classé;;;10;100;;Location de draps,Location de linge,Option nettoyage;"Anglais;Français";oui;;Rémy D'HERBECOURT||02 40 97 88 38||contact@domainedesforges.fr;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.5235417,-1.345736;Loire-Atlantique
GÎTE AU BONHEUR DU JOUR;Meublés;Maison;;;;Le Druillet - La Rouxière;44370;LOIREAUXENCE;;44213;47.430473;-1.070308;Route (nationale/départ.)||RD723||5,7,Gare SNCF||Ancenis||15,Autoroute||||15;07 70 28 09 41;02 40 96 87 80;;;https://sites.google.com/site/legiteaubonheurdujour/;;;;;non;;;non;;Parc/jardin,WiFi;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;;4;;1;15;180;Location de draps,Option nettoyage;"Anglais;Espagnol;Français";oui;;LEONARD Sandra||07 70 28 09 41||gite.aubonheurdujour@gmail.com;;;;||290,00||800,00||;"Chèques bancaires et postaux;Espèces;Virement";47.430473,-1.070308;Loire-Atlantique
LES COCCINELLES;Meublés;Appartement;;;8 allée du Chébec;;44600;SAINT-NAZAIRE;;44184;47.2470785;-2.266511;Transport en commun||Bus U3 - Arrêt Gavy ||0,5;06 83 50 21 78;;;;www.vacances-hulot-stmarc.blog4ever.com;;;;;;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Garage;Jardin indépendant;Sanitaires privés;Terrain clos;Terrasse / Balcon";Micro ondes;;;;1;;1;2;30;;"Anglais;Espagnol;Français;Italien";non;01/07/2022||13/09/2022||Location : Juillet - Août - 1ere quinzaine de septembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||350,00||395,00||;"Chèques bancaires et postaux;Espèces;Virement";47.2470785,-2.266511;Loire-Atlantique
LES PÊCHERIES JUMELLES;Hébergement insolite;Cabane;;;Roze;;44550;SAINT-MALO-DE-GUERSAC;;44176;47.3587557;-2.1871922;Transport en commun||Ligne T3 - Arrêt : Rozé||0,6,Gare SNCF||Gare SNCF de Saint-Nazaire||13;;08 11 26 01 60;;;http://www.insolite.voyage;;Facebook||https://www.facebook.com/insolite.voyage/;;;;;;non;;;Terrasse / Balcon;;;;;;;1;4;14;;;non;01/04/2022||30/09/2022||Location d'Avril à Septembre||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||08 11 26 01 60||;;;;Nuitée (meublé)||75,00||115,00||petit déjeuner inclus;"Chèques Vacances;Espèces;Virement";47.3587557,-2.1871922;Loire-Atlantique
BEAU T3 FRONT DE MER ET PLAGE, PROX CENTRE VILLE;Meublés;Appartement;;;22 rue marcel sembat;Batiment A, rez de chaussée;44600;SAINT-NAZAIRE;;44184;47.2601586;-2.2247097;Transport en commun||Ligne U3 - Arrêt Franklin||0,25;;;;;;;;;;non;;;non;;;"Entrée indépendante;Garage;Local vélo;Parking;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle;;;Non classé;2;0;1;6;65;Fourniture de draps (gratuit),Nettoyage (gratuit);"Anglais;Espagnol;Français";non;01/07/2022||31/08/2022||Location juillet août 2022 (mini 4 nuitées)||Location juillet août 2022 (mini 4 nuitées)||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Ludivine||06 63 12 22 25||l.perinel@wanadoo.fr;oui;Airbnb||https://www.airbnb.fr/rooms/49893544?preview_for_ml=true&source_impression_id=p3_1628948351_eNEq%2Bl1Eu%2FdJMJVK||||||;;Semaine (meublé)||860,00||1000,00||,Nuitée (meublé)||130,00||150,00||;"Chèques bancaires et postaux;Espèces;Virement";47.2601586,-2.2247097;Loire-Atlantique
